iter	Passed	Remaining
194	18738	29308
195	18822	29194
196	18906	29079
197	18999	28979
198	19083	28865
199	19159	28739
200	19251	28638
201	19351	28548
202	19439	28441
203	19526	28332
204	19606	28213
205	19689	28100
206	19770	27984
207	19859	27879
208	19940	27764
209	20029	27659
210	20104	27536
211	20196	27436
212	20279	27324
213	20363	27215
214	20446	27104
215	20538	27004
216	20623	26895
217	20704	26782
218	20793	26680
219	20889	26586
220	20967	26470
221	21048	26357
222	21128	26245
223	21210	26134
224	21293	26025
225	21373	25912
226	21457	25805
227	21549	25708
228	21625	25591
229	21713	25489
230	21802	25388
231	21895	25292
232	21982	25189
233	22067	25085
234	22138	24964
235	22230	24867
236	22309	24757
237	22394	24652
238	22482	24551
239	22565	24446
240	22646	24337
241	22737	24240
242	22817	24132
243	22902	24029
244	22983	23921
245	23081	23832
246	23173	23736
247	23257	23633
248	23341	23528
249	23426	23426
250	23511	23323
251	23600	23226
252	23683	23121
253	23772	23023
254	23863	22927
255	23938	22816
256	24026	22717
257	24113	22618
258	24198	22516
259	24287	22419
260	24386	22330
261	24479	22236
262	24562	22134
263	24652	22037
264	24735	21934
265	24818	21833
266	24911	21739
267	24991	21634
268	25073	21531
269	25153	21427
270	25236	21325
271	25314	21219
272	25406	21125
273	25492	21026
274	25587	20934
275	25672	20835
276	25750	20730
277	25829	20626
278	25927	20537
279	26020	20444
280	26102	20343
281	26185	20242
282	26267	20141
283	26350	20041
284	26449	19953
285	26534	19854
286	26619	19755
287	26714	19664
288	26801	19567
289	26895	19475
290	26971	19371
291	27054	19271
292	27133	19169
293	27220	19072
294	27309	18977
295	27398	18883
296	27485	18786
297	27562	18683
298	27641	18581
299	27731	18487
300	27811	18387
301	27896	18289
302	27983	18194
303	28072	18099
304	28160	18004
305	28246	17907
306	28339	17815
307	28421	17717
308	28503	17618
309	28596	17527
310	28672	17424
311	28745	17320
312	28825	17221
313	28900	17119
314	28986	17023
315	29060	16921
316	29145	16825
317	29237	16733
318	29325	16639
319	29411	16544
320	29491	16445
321	29587	16355
322	29665	16256
323	29753	16162
324	29833	16064
325	29911	15965
326	29989	15866
327	30063	15765
328	30149	15670
329	30228	15572
330	30319	15480
331	30402	15384
332	30489	15290
333	30580	15198
334	30672	15107
335	30751	15009
336	30840	14916
337	30933	14826
338	31007	14726
339	31089	14630
340	31169	14533
341	31263	14443
342	31340	14345
343	31418	14247
344	31491	14148
345	31584	14057
346	31678	13967
347	31768	13875
348	31854	13782
349	31934	13686
350	32017	13591
351	32105	13499
352	32208	13412
353	32306	13324
354	32398	13233
355	32475	13136
356	32564	13044
357	32648	12950
358	32737	12857
359	32829	12767
360	32916	12674
361	33002	12581
362	33088	12487
363	33173	12394
364	33258	12301
365	33344	12208
366	33432	12115
367	33522	12024
368	33616	11934
369	33702	11841
370	33790	11749
371	33870	11654
372	33954	11560
373	34035	11466
374	34118	11372
375	34205	11280
376	34297	11189
377	34383	11097
378	34469	11004
379	34554	10911
380	34637	10818
381	34717	10724
382	34795	10629
383	34876	10535
384	34966	10444
385	35052	10352
386	35131	10258
387	35211	10164
388	35304	10074
389	35386	9980
390	35480	9891
391	35563	9798
392	35646	9705
393	35725	9611
394	35810	9519
395	35891	9426
396	35972	9332
397	36051	9239
398	36136	9147
399	36218	9054
400	36298	8961
401	36377	8868
402	36463	8776
403	36549	8685
404	36642	8595
405	36729	8503
406	36822	8413
407	36902	8321
408	36987	8229
409	37068	8137
410	37147	8044
411	37234	7952
412	37318	7861
413	37420	7773
414	37509	7682
415	37596	7591
416	37677	7499
417	37766	7408
418	37853	7317
419	37936	7226
420	38012	7133
421	38093	7041
422	38175	6949
423	38255	6857
424	38341	6766
425	38424	6674
426	38515	6584
427	38598	6493
428	38687	6402
429	38764	6310
430	38845	6218
431	38933	6128
432	39018	6037
433	39113	5948
434	39203	5857
435	39287	5767
436	39369	5675
437	39459	5585
438	39541	5494
439	39622	5403
440	39705	5312
441	39788	5221
442	39874	5130
443	39952	5039
444	40037	4948
445	40119	4857
446	40198	4766
447	40278	4675
448	40368	4585
449	40456	4495
450	40540	4404
451	40623	4314
452	40701	4222
453	40778	4131
454	40869	4042
455	40954	3951
456	41038	3861
457	41123	3771
458	41206	3680
459	41287	3590
460	41378	3500
461	41469	3410
462	41552	3320
463	41641	3230
464	41733	3141
465	41819	3051
466	41898	2960
467	41985	2870
468	42066	2780
469	42159	2691
470	42241	2600
471	42330	2511
472	42413	2421
473	42502	2331
474	42584	2241
475	42659	2150
476	42748	2061
477	42836	1971
478	42917	1881
479	43002	1791
480	43083	1701
481	43161	1611
482	43244	1522
483	43335	1432
484	43419	1342
485	43505	1253
486	43599	1163
487	43683	1074
488	43770	984
489	43858	895
490	43953	805
491	44048	716
492	44128	626
493	44211	536
494	44294	447
495	44378	357
496	44465	268
497	44542	178
498	44632	89
499	44712	0
