iter	Logloss
0	0.6659039186
1	0.6416122165
2	0.6209553554
3	0.6021183486
4	0.585478564
5	0.5709567048
6	0.5575490493
7	0.5458145961
8	0.5355295013
9	0.5267784802
10	0.5186345926
11	0.5112019258
12	0.5047138338
13	0.499276175
14	0.4942019303
15	0.4898132668
16	0.4857626791
17	0.4821451906
18	0.4788873805
19	0.4758940635
20	0.4732432689
21	0.4709829076
22	0.4689614326
23	0.4669905804
24	0.4653204944
25	0.463856157
26	0.4624559534
27	0.4611594061
28	0.4600038837
29	0.4588985705
30	0.4578890725
31	0.4570154956
32	0.4563519081
33	0.4556623288
34	0.4550102843
35	0.4544671371
36	0.4539599064
37	0.4535308884
38	0.4530437228
39	0.4526037456
40	0.4522107673
41	0.4518551099
42	0.4515109708
43	0.4512038231
44	0.450925522
45	0.450702229
46	0.4504757763
47	0.4502637015
48	0.450089638
49	0.4498768202
50	0.4496903672
51	0.4495246078
52	0.4493588513
53	0.4492157146
54	0.4490938465
55	0.4489652852
56	0.4488666034
57	0.4487685342
58	0.4486801205
59	0.4485944315
60	0.448503471
61	0.4484110514
62	0.448336007
63	0.4482588322
64	0.4481813383
65	0.4481229438
66	0.4480617141
67	0.4479767335
68	0.4479148291
69	0.4478479681
70	0.447774669
71	0.4477084118
72	0.4476498797
73	0.4475953756
74	0.4475559856
75	0.4474989115
76	0.4474486724
77	0.4474051562
78	0.4473459905
79	0.4473006296
80	0.4472577226
81	0.4472182741
82	0.4471735217
83	0.4471409215
84	0.4471091292
85	0.4470810916
86	0.4470439084
87	0.4470010387
88	0.4469570704
89	0.4469218639
90	0.44689549
91	0.4468607664
92	0.4468264962
93	0.4467982189
94	0.4467746956
95	0.4467438747
96	0.4467165936
97	0.4466777591
98	0.4466405436
99	0.4466146142
100	0.4465886635
101	0.4465650474
102	0.4465424944
103	0.4465152987
104	0.446485151
105	0.4464623111
106	0.4464380157
107	0.4464156546
108	0.4463871503
109	0.4463584161
110	0.4463289682
111	0.4463056487
112	0.4462804508
113	0.4462585756
114	0.4462400041
115	0.4462176356
116	0.4461972414
117	0.4461782045
118	0.4461583352
119	0.4461360034
120	0.4461191731
121	0.4460931985
122	0.4460735574
123	0.4460530852
124	0.4460343907
125	0.4460169843
126	0.4460022425
127	0.4459911177
128	0.4459730262
129	0.4459590365
130	0.445941914
131	0.445921275
132	0.4459026296
133	0.4458878172
134	0.4458726922
135	0.4458599789
136	0.4458437051
137	0.4458256296
138	0.4458064775
139	0.4457926186
140	0.4457755457
141	0.4457595747
142	0.4457446197
143	0.4457290885
144	0.445714722
145	0.4456856212
146	0.4456561951
147	0.4456414754
148	0.4456275033
149	0.4456136775
150	0.4455945673
151	0.4455820035
152	0.4455636735
153	0.4455483223
154	0.4455301566
155	0.4455040185
156	0.4454869983
157	0.4454697317
158	0.4454567034
159	0.445440068
160	0.4454179205
161	0.4454059658
162	0.445392407
163	0.4453790684
164	0.4453630024
165	0.4453499245
166	0.4453358854
167	0.4453261166
168	0.4453108136
169	0.4452988234
170	0.4452868174
171	0.445270439
172	0.4452584448
173	0.4452476555
174	0.4452320683
175	0.4452188934
176	0.4452048537
177	0.4451908397
178	0.445179715
179	0.4451699668
180	0.4451618544
181	0.4451483842
182	0.4451339448
183	0.4451223018
184	0.4451112506
185	0.4451003784
186	0.4450856083
187	0.4450715786
188	0.4450585321
189	0.4450488897
190	0.4450265292
191	0.445009816
192	0.4449950452
193	0.4449710874
194	0.4449604501
195	0.4449476425
196	0.4449335188
197	0.4449199713
198	0.4449089484
199	0.4448971801
200	0.4448797285
201	0.4448600939
202	0.4448495021
203	0.4448367493
204	0.4448242748
205	0.4448026408
206	0.4447916653
207	0.4447786343
208	0.4447672263
209	0.4447523221
210	0.4447391827
211	0.4447285501
212	0.4447174925
213	0.444707872
214	0.4446883953
215	0.4446748333
216	0.4446635952
217	0.4446530336
218	0.4446402495
219	0.444628258
220	0.4446205707
221	0.4446102772
222	0.4445977762
223	0.444590201
224	0.4445777485
225	0.4445633115
226	0.4445529904
227	0.4445350711
228	0.44452368
229	0.4445104159
230	0.4445006565
231	0.4444895713
232	0.4444732663
233	0.4444631514
234	0.4444532573
235	0.4444418459
236	0.4444285557
237	0.4444182232
238	0.4444096238
239	0.4443964831
240	0.4443884654
241	0.444376682
242	0.4443651232
243	0.4443559919
244	0.4443479929
245	0.4443331482
246	0.4443244326
247	0.4443138385
248	0.4443036284
249	0.4442884357
250	0.4442798282
251	0.4442707588
252	0.4442617134
253	0.4442539069
254	0.4442434277
255	0.4442325351
256	0.4442230497
257	0.4442149407
258	0.4441980852
259	0.4441915849
260	0.4441747958
261	0.4441572992
262	0.444148656
263	0.4441348242
264	0.4441212979
265	0.4441131087
266	0.4441038583
267	0.4440805527
268	0.4440723792
269	0.4440620631
270	0.4440513182
271	0.4440423835
272	0.4440331709
273	0.4440221068
274	0.4440093315
275	0.4439997907
276	0.4439886914
277	0.4439733132
278	0.4439536717
279	0.4439470186
280	0.4439368593
281	0.4439279214
282	0.4439104342
283	0.4438997988
284	0.443887712
285	0.4438788923
286	0.4438686979
287	0.4438562589
288	0.4438371341
289	0.4438264803
290	0.4438178988
291	0.4438039856
292	0.4437925265
293	0.4437762028
294	0.4437600562
295	0.4437476671
296	0.4437305763
297	0.4437166068
298	0.4437065594
299	0.4436972356
300	0.4436886151
301	0.4436793075
302	0.443668015
303	0.4436531275
304	0.4436317074
305	0.4436219434
306	0.4436087486
307	0.4435972406
308	0.4435828798
309	0.4435667418
310	0.4435570641
311	0.4435458857
312	0.4435382736
313	0.4435263109
314	0.4435161981
315	0.4435057406
316	0.4434912794
317	0.4434822494
318	0.4434718087
319	0.443461516
320	0.4434500263
321	0.4434317847
322	0.4434214436
323	0.4434109561
324	0.4434034484
325	0.4433945337
326	0.443387515
327	0.4433757201
328	0.4433655867
329	0.4433530521
330	0.4433439199
331	0.443335573
332	0.4433259259
333	0.4433109417
334	0.4432976552
335	0.4432896621
336	0.4432788402
337	0.4432684941
338	0.4432586449
339	0.4432471982
340	0.4432404475
341	0.4432319604
342	0.4432207256
343	0.4432129051
344	0.4432028042
345	0.4431915973
346	0.4431820716
347	0.4431714561
348	0.4431643826
349	0.4431547447
350	0.4431449975
351	0.4431356964
352	0.4431277362
353	0.4431139867
354	0.4431045617
355	0.4430956661
356	0.4430874676
357	0.4430784169
358	0.4430663566
359	0.4430583567
360	0.443049209
361	0.4430411972
362	0.4430236804
363	0.4430147584
364	0.4430029383
365	0.4429941415
366	0.4429854104
367	0.4429760265
368	0.4429672954
369	0.4429504139
370	0.4429377141
371	0.4429294109
372	0.4429184306
373	0.4429091268
374	0.4428974081
375	0.4428874466
376	0.4428795384
377	0.442869506
378	0.4428595883
379	0.4428499098
380	0.4428389867
381	0.4428314484
382	0.44282323
383	0.4428139418
384	0.4427964582
385	0.442788237
386	0.4427796697
387	0.4427732747
388	0.4427652219
389	0.4427600501
390	0.4427506343
391	0.442738462
392	0.442730086
393	0.4427206389
394	0.4427117801
395	0.4427050648
396	0.4426970737
397	0.4426900224
398	0.4426797308
399	0.4426725687
400	0.4426661807
401	0.4426568032
402	0.4426489589
403	0.4426398199
404	0.4426284184
405	0.442620097
406	0.4426124474
407	0.4426042768
408	0.4425962249
409	0.4425880717
410	0.4425776656
411	0.4425673865
412	0.4425563062
413	0.4425409555
414	0.4425315161
415	0.4425228377
416	0.4425171874
417	0.4425080426
418	0.4425014005
419	0.4424932372
420	0.4424831602
421	0.4424747167
422	0.4424674026
423	0.4424607996
424	0.4424495838
425	0.4424400672
426	0.4424316984
427	0.442424791
428	0.4424157522
429	0.442407957
430	0.4424010141
431	0.4423904776
432	0.4423830601
433	0.4423751877
434	0.4423670871
435	0.4423600453
436	0.4423503366
437	0.4423417
438	0.4423336348
439	0.4423232211
440	0.4423129888
441	0.4423046809
442	0.4422946438
443	0.4422875624
444	0.4422778971
445	0.4422699362
446	0.4422634003
447	0.4422577479
448	0.4422470226
449	0.4422376754
450	0.44222985
451	0.4422220901
452	0.4422125728
453	0.4422045387
454	0.4421959145
455	0.4421888757
456	0.4421814915
457	0.4421752913
458	0.4421674102
459	0.4421605943
460	0.4421523775
461	0.4421461226
462	0.4421390568
463	0.4421315316
464	0.4421217368
465	0.4421144824
466	0.4421074855
467	0.4420996552
468	0.4420934872
469	0.4420856032
470	0.4420794549
471	0.4420714111
472	0.4420647039
473	0.4420561572
474	0.4420489371
475	0.4420407539
476	0.4420315015
477	0.4420254265
478	0.442017702
479	0.442010907
480	0.4420054148
481	0.4419984301
482	0.4419908006
483	0.4419838647
484	0.4419773496
485	0.441969949
486	0.4419624607
487	0.4419557006
488	0.4419455611
489	0.4419412803
490	0.4419347152
491	0.4419244173
492	0.4419182017
493	0.4419119354
494	0.4419046311
495	0.4418980274
496	0.4418883266
497	0.4418823447
498	0.4418744167
499	0.4418694023
